Event,Fabric,Color,Style_Persona,Micro_Climate,Suitability_Score,Match_Status
Pola/Market,Polyester,Maroon,Minimalist,Indoor (AC),0.33,0
Beach Party,Silk,Emerald Green,Minimalist,Indoor (AC),0.66,0
Pola/Market,Polyester,Emerald Green,Minimalist,Indoor (AC),0.42,0
Beach Party,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.81,1
Beach Party,Linen,Emerald Green,Professional,Outdoor (Humid),0.58,0
Temple Visit,Polyester,Emerald Green,Minimalist,Outdoor (Humid),0.19,0
Gym/Workout,Polyester,Emerald Green,Professional,Outdoor (Humid),0.1,0
Beach Party,Polyester,Navy Blue,Minimalist,Indoor (AC),0.23,0
Corporate Meeting,Linen,Navy Blue,Professional,Indoor (AC),0.69,0
Corporate Meeting,Polyester,Navy Blue,Bold,Outdoor (Humid),0.15,0
Pola/Market,Viscose,Black,Professional,Indoor (AC),0.47,0
Corporate Meeting,Viscose,White,Minimalist,Outdoor (Humid),0.48,0
Pola/Market,Polyester,Black,Minimalist,Indoor (AC),0.26,0
Temple Visit,Silk,Earth Tone,Bold,Indoor (AC),0.57,0
Temple Visit,Silk,Maroon,Minimalist,Indoor (AC),0.57,0
Corporate Meeting,Viscose,Black,Professional,Outdoor (Humid),0.63,0
Corporate Meeting,Cotton,Black,Professional,Outdoor (Humid),1.0,1
Pola/Market,Viscose,Maroon,Professional,Outdoor (Humid),0.15,0
Gym/Workout,Linen,Earth Tone,Minimalist,Indoor (AC),0.2,0
Gym/Workout,Georgette,Earth Tone,Bold,Indoor (AC),0.17,0
Corporate Meeting,Linen,White,Minimalist,Outdoor (Humid),0.55,0
Traditional Wedding,Georgette,Navy Blue,Minimalist,Outdoor (Humid),0.72,0
Beach Party,Georgette,Black,Bold,Indoor (AC),0.19,0
Pola/Market,Polyester,Maroon,Professional,Indoor (AC),0.31,0
Temple Visit,Cotton,Maroon,Professional,Outdoor (Humid),0.81,1
Temple Visit,Viscose,Emerald Green,Bold,Indoor (AC),0.21,0
Pola/Market,Viscose,Black,Minimalist,Outdoor (Humid),0.34,0
Beach Party,Linen,Earth Tone,Bold,Indoor (AC),0.39,0
Corporate Meeting,Georgette,Maroon,Professional,Outdoor (Humid),0.42,0
Traditional Wedding,Linen,Black,Professional,Outdoor (Humid),0.88,1
Pola/Market,Linen,Black,Bold,Outdoor (Humid),0.76,1
Temple Visit,Polyester,Earth Tone,Bold,Outdoor (Humid),0.16,0
Beach Party,Silk,Earth Tone,Professional,Outdoor (Humid),0.45,0
Beach Party,Silk,Earth Tone,Professional,Indoor (AC),0.57,0
Pola/Market,Polyester,Maroon,Minimalist,Outdoor (Humid),0.31,0
Traditional Wedding,Silk,Emerald Green,Bold,Indoor (AC),0.8,1
Pola/Market,Georgette,Maroon,Bold,Indoor (AC),0.49,0
Corporate Meeting,Polyester,Emerald Green,Bold,Outdoor (Humid),0.45,0
Traditional Wedding,Polyester,Emerald Green,Professional,Outdoor (Humid),0.48,0
Dinner Gala,Linen,Black,Professional,Indoor (AC),0.24,0
Dinner Gala,Polyester,Black,Professional,Indoor (AC),0.28,0
Pola/Market,Silk,Black,Professional,Outdoor (Humid),0.19,0
Traditional Wedding,Cotton,White,Minimalist,Indoor (AC),0.12,0
Gym/Workout,Cotton,Earth Tone,Minimalist,Indoor (AC),0.26,0
Traditional Wedding,Georgette,Navy Blue,Minimalist,Indoor (AC),0.67,0
Dinner Gala,Georgette,Earth Tone,Professional,Indoor (AC),0.54,0
Corporate Meeting,Viscose,Black,Professional,Indoor (AC),0.55,0
Pola/Market,Viscose,Maroon,Bold,Outdoor (Humid),0.33,0
Temple Visit,Polyester,Earth Tone,Professional,Indoor (AC),0.33,0
Traditional Wedding,Silk,Earth Tone,Bold,Outdoor (Humid),0.6,0
Beach Party,Viscose,Navy Blue,Minimalist,Outdoor (Humid),0.41,0
Traditional Wedding,Silk,White,Minimalist,Indoor (AC),0.91,1
Beach Party,Silk,Emerald Green,Professional,Outdoor (Humid),0.12,0
Corporate Meeting,Polyester,Navy Blue,Minimalist,Indoor (AC),0.29,0
Traditional Wedding,Cotton,Black,Minimalist,Indoor (AC),0.42,0
Corporate Meeting,Georgette,Navy Blue,Minimalist,Outdoor (Humid),0.19,0
Traditional Wedding,Polyester,Earth Tone,Bold,Indoor (AC),0.45,0
Pola/Market,Georgette,Emerald Green,Minimalist,Outdoor (Humid),0.48,0
Gym/Workout,Polyester,Maroon,Bold,Outdoor (Humid),0.17,0
Dinner Gala,Georgette,White,Bold,Indoor (AC),0.8,1
Beach Party,Linen,Maroon,Professional,Indoor (AC),0.49,0
Beach Party,Linen,Maroon,Bold,Outdoor (Humid),0.68,0
Corporate Meeting,Silk,Earth Tone,Professional,Indoor (AC),0.62,0
Dinner Gala,Polyester,Earth Tone,Minimalist,Indoor (AC),0.45,0
Gym/Workout,Polyester,Earth Tone,Bold,Outdoor (Humid),0.23,0
Traditional Wedding,Georgette,Earth Tone,Bold,Outdoor (Humid),0.54,0
Traditional Wedding,Cotton,White,Minimalist,Outdoor (Humid),0.89,1
Traditional Wedding,Polyester,Black,Bold,Indoor (AC),0.44,0
Corporate Meeting,Polyester,Maroon,Minimalist,Indoor (AC),0.3,0
Dinner Gala,Cotton,Emerald Green,Professional,Indoor (AC),0.36,0
Pola/Market,Linen,Maroon,Professional,Outdoor (Humid),0.89,1
Traditional Wedding,Linen,Emerald Green,Minimalist,Indoor (AC),0.15,0
Beach Party,Viscose,Emerald Green,Bold,Indoor (AC),0.13,0
Corporate Meeting,Georgette,Maroon,Minimalist,Indoor (AC),0.19,0
Beach Party,Silk,Black,Minimalist,Outdoor (Humid),0.31,0
Pola/Market,Silk,Black,Bold,Indoor (AC),0.46,0
Beach Party,Viscose,Navy Blue,Professional,Indoor (AC),0.44,0
Traditional Wedding,Georgette,Navy Blue,Professional,Indoor (AC),0.55,0
Gym/Workout,Viscose,Earth Tone,Minimalist,Indoor (AC),0.28,0
Gym/Workout,Linen,Emerald Green,Bold,Outdoor (Humid),0.86,1
Gym/Workout,Polyester,Earth Tone,Professional,Outdoor (Humid),0.23,0
Pola/Market,Georgette,White,Minimalist,Outdoor (Humid),0.42,0
Dinner Gala,Viscose,Maroon,Bold,Outdoor (Humid),0.26,0
Traditional Wedding,Polyester,Navy Blue,Minimalist,Outdoor (Humid),0.2,0
Gym/Workout,Cotton,White,Bold,Outdoor (Humid),0.79,1
Gym/Workout,Silk,Navy Blue,Bold,Indoor (AC),0.42,0
Dinner Gala,Cotton,White,Minimalist,Indoor (AC),0.14,0
Pola/Market,Georgette,White,Minimalist,Outdoor (Humid),0.42,0
Corporate Meeting,Polyester,Earth Tone,Professional,Outdoor (Humid),0.47,0
Beach Party,Cotton,White,Minimalist,Outdoor (Humid),0.65,0
Dinner Gala,Georgette,White,Professional,Outdoor (Humid),0.69,0
Temple Visit,Cotton,White,Minimalist,Outdoor (Humid),0.6,0
Traditional Wedding,Cotton,Emerald Green,Professional,Indoor (AC),0.44,0
Dinner Gala,Polyester,Black,Bold,Indoor (AC),0.39,0
Traditional Wedding,Linen,Navy Blue,Professional,Indoor (AC),0.27,0
Traditional Wedding,Linen,White,Minimalist,Outdoor (Humid),0.57,0
Pola/Market,Silk,White,Professional,Outdoor (Humid),0.44,0
Temple Visit,Silk,Navy Blue,Professional,Outdoor (Humid),0.36,0
Temple Visit,Silk,Maroon,Minimalist,Outdoor (Humid),0.14,0
Traditional Wedding,Viscose,Emerald Green,Professional,Outdoor (Humid),0.41,0
Corporate Meeting,Polyester,Maroon,Minimalist,Outdoor (Humid),0.19,0
Dinner Gala,Silk,Maroon,Professional,Outdoor (Humid),0.84,1
Beach Party,Silk,Maroon,Professional,Indoor (AC),0.48,0
Pola/Market,Linen,Black,Minimalist,Outdoor (Humid),0.59,0
Gym/Workout,Viscose,Navy Blue,Professional,Indoor (AC),0.33,0
Pola/Market,Linen,Black,Minimalist,Indoor (AC),0.4,0
Pola/Market,Linen,Maroon,Professional,Indoor (AC),0.11,0
Dinner Gala,Cotton,Maroon,Bold,Outdoor (Humid),0.87,1
Dinner Gala,Polyester,Navy Blue,Bold,Indoor (AC),0.24,0
Dinner Gala,Georgette,White,Professional,Indoor (AC),0.77,1
Gym/Workout,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.81,1
Beach Party,Polyester,Emerald Green,Bold,Outdoor (Humid),0.21,0
Beach Party,Polyester,White,Professional,Indoor (AC),0.14,0
Temple Visit,Silk,Earth Tone,Bold,Indoor (AC),0.48,0
Traditional Wedding,Linen,Maroon,Professional,Outdoor (Humid),0.71,0
Temple Visit,Silk,Emerald Green,Professional,Outdoor (Humid),0.2,0
Dinner Gala,Linen,Black,Professional,Outdoor (Humid),0.59,0
Dinner Gala,Viscose,Emerald Green,Professional,Indoor (AC),0.11,0
Corporate Meeting,Cotton,Maroon,Bold,Outdoor (Humid),0.7,0
Temple Visit,Georgette,Maroon,Professional,Indoor (AC),0.2,0
Temple Visit,Linen,Emerald Green,Bold,Indoor (AC),0.2,0
Corporate Meeting,Cotton,White,Professional,Indoor (AC),0.67,0
Pola/Market,Linen,Earth Tone,Professional,Outdoor (Humid),0.87,1
Dinner Gala,Viscose,Earth Tone,Minimalist,Outdoor (Humid),0.41,0
Temple Visit,Linen,Emerald Green,Bold,Indoor (AC),0.13,0
Dinner Gala,Viscose,Black,Minimalist,Outdoor (Humid),0.44,0
Beach Party,Silk,Emerald Green,Bold,Indoor (AC),0.36,0
Dinner Gala,Georgette,Earth Tone,Professional,Indoor (AC),0.76,1
Beach Party,Georgette,White,Professional,Outdoor (Humid),0.34,0
Gym/Workout,Georgette,Black,Minimalist,Indoor (AC),0.41,0
Corporate Meeting,Linen,Navy Blue,Professional,Outdoor (Humid),1.0,1
Corporate Meeting,Linen,Maroon,Professional,Outdoor (Humid),0.97,1
Temple Visit,Viscose,White,Professional,Outdoor (Humid),0.21,0
Temple Visit,Silk,Earth Tone,Bold,Indoor (AC),0.55,0
Gym/Workout,Silk,Black,Professional,Outdoor (Humid),0.26,0
Temple Visit,Polyester,Maroon,Bold,Outdoor (Humid),0.17,0
Temple Visit,Cotton,White,Bold,Indoor (AC),0.47,0
Corporate Meeting,Georgette,Emerald Green,Professional,Indoor (AC),0.79,1
Traditional Wedding,Linen,Emerald Green,Professional,Outdoor (Humid),0.52,0
Beach Party,Georgette,Navy Blue,Minimalist,Outdoor (Humid),0.24,0
Gym/Workout,Linen,White,Bold,Indoor (AC),0.32,0
Dinner Gala,Linen,White,Bold,Indoor (AC),0.37,0
Gym/Workout,Polyester,Black,Bold,Outdoor (Humid),0.4,0
Corporate Meeting,Linen,Black,Minimalist,Indoor (AC),0.41,0
Temple Visit,Silk,Emerald Green,Professional,Indoor (AC),0.66,0
Traditional Wedding,Georgette,Emerald Green,Minimalist,Indoor (AC),0.56,0
Pola/Market,Silk,Earth Tone,Bold,Outdoor (Humid),0.23,0
Traditional Wedding,Silk,Emerald Green,Bold,Indoor (AC),0.77,1
Corporate Meeting,Linen,Emerald Green,Professional,Indoor (AC),0.57,0
Beach Party,Georgette,White,Professional,Outdoor (Humid),0.11,0
Traditional Wedding,Georgette,Maroon,Minimalist,Indoor (AC),0.77,1
Dinner Gala,Viscose,Black,Bold,Outdoor (Humid),0.41,0
Dinner Gala,Cotton,Maroon,Bold,Outdoor (Humid),0.89,1
Corporate Meeting,Georgette,Emerald Green,Minimalist,Indoor (AC),0.28,0
Pola/Market,Georgette,White,Bold,Outdoor (Humid),0.17,0
Traditional Wedding,Georgette,Navy Blue,Professional,Indoor (AC),0.58,0
Pola/Market,Linen,Navy Blue,Minimalist,Indoor (AC),0.13,0
Dinner Gala,Viscose,Earth Tone,Minimalist,Indoor (AC),0.42,0
Pola/Market,Georgette,Black,Minimalist,Indoor (AC),0.35,0
Traditional Wedding,Georgette,Black,Minimalist,Indoor (AC),0.66,0
Gym/Workout,Linen,Navy Blue,Professional,Indoor (AC),0.43,0
Gym/Workout,Linen,Earth Tone,Bold,Outdoor (Humid),0.88,1
Dinner Gala,Georgette,White,Bold,Outdoor (Humid),0.66,0
Beach Party,Silk,White,Professional,Indoor (AC),0.69,0
Beach Party,Viscose,Black,Professional,Outdoor (Humid),0.23,0
Gym/Workout,Georgette,Black,Bold,Outdoor (Humid),0.39,0
Corporate Meeting,Cotton,Earth Tone,Minimalist,Indoor (AC),0.4,0
Gym/Workout,Silk,White,Professional,Outdoor (Humid),0.21,0
Beach Party,Cotton,Emerald Green,Professional,Indoor (AC),0.5,0
Temple Visit,Cotton,Maroon,Bold,Indoor (AC),0.4,0
Corporate Meeting,Cotton,White,Bold,Outdoor (Humid),0.67,0
Pola/Market,Georgette,Earth Tone,Bold,Outdoor (Humid),0.12,0
Beach Party,Linen,Emerald Green,Professional,Outdoor (Humid),0.86,1
Traditional Wedding,Linen,Maroon,Minimalist,Outdoor (Humid),0.89,1
Pola/Market,Georgette,Navy Blue,Bold,Outdoor (Humid),0.2,0
Temple Visit,Polyester,Navy Blue,Bold,Outdoor (Humid),0.19,0
Pola/Market,Cotton,Emerald Green,Minimalist,Outdoor (Humid),0.63,0
Temple Visit,Linen,Black,Minimalist,Indoor (AC),0.13,0
Dinner Gala,Georgette,White,Bold,Outdoor (Humid),0.51,0
Traditional Wedding,Georgette,Emerald Green,Bold,Indoor (AC),0.58,0
Temple Visit,Linen,Maroon,Minimalist,Outdoor (Humid),0.85,1
Temple Visit,Linen,Earth Tone,Professional,Outdoor (Humid),0.66,0
Temple Visit,Silk,Navy Blue,Professional,Indoor (AC),0.37,0
Gym/Workout,Polyester,Maroon,Professional,Indoor (AC),0.17,0
Pola/Market,Linen,Black,Bold,Indoor (AC),0.26,0
Corporate Meeting,Viscose,Maroon,Bold,Outdoor (Humid),0.13,0
Corporate Meeting,Georgette,Emerald Green,Minimalist,Outdoor (Humid),0.14,0
Temple Visit,Polyester,Maroon,Bold,Indoor (AC),0.12,0
Pola/Market,Georgette,Earth Tone,Minimalist,Indoor (AC),0.18,0
Gym/Workout,Linen,Maroon,Minimalist,Outdoor (Humid),0.87,1
Gym/Workout,Silk,Earth Tone,Professional,Indoor (AC),0.6,0
Gym/Workout,Georgette,Maroon,Minimalist,Indoor (AC),0.18,0
Dinner Gala,Linen,Emerald Green,Bold,Indoor (AC),0.48,0
Gym/Workout,Linen,Black,Professional,Indoor (AC),0.16,0
Dinner Gala,Cotton,Maroon,Bold,Indoor (AC),0.44,0
Traditional Wedding,Viscose,Black,Minimalist,Outdoor (Humid),0.19,0
Temple Visit,Polyester,White,Bold,Outdoor (Humid),0.48,0
Corporate Meeting,Polyester,Maroon,Bold,Indoor (AC),0.31,0
Temple Visit,Silk,Emerald Green,Professional,Outdoor (Humid),0.22,0
Corporate Meeting,Polyester,Earth Tone,Bold,Indoor (AC),0.28,0
Corporate Meeting,Polyester,Emerald Green,Professional,Indoor (AC),0.44,0
Gym/Workout,Linen,Emerald Green,Minimalist,Indoor (AC),0.46,0
Corporate Meeting,Georgette,Black,Bold,Outdoor (Humid),0.38,0
Temple Visit,Silk,Earth Tone,Minimalist,Outdoor (Humid),0.12,0
Corporate Meeting,Viscose,Maroon,Professional,Outdoor (Humid),0.7,0
Dinner Gala,Linen,Black,Minimalist,Indoor (AC),0.16,0
Beach Party,Polyester,Earth Tone,Professional,Indoor (AC),0.17,0
Pola/Market,Georgette,Maroon,Minimalist,Outdoor (Humid),0.3,0
Corporate Meeting,Cotton,Emerald Green,Bold,Indoor (AC),0.16,0
Beach Party,Cotton,Emerald Green,Professional,Outdoor (Humid),0.59,0
Pola/Market,Viscose,Maroon,Minimalist,Outdoor (Humid),0.11,0
Pola/Market,Viscose,Emerald Green,Minimalist,Indoor (AC),0.35,0
Traditional Wedding,Georgette,Earth Tone,Professional,Indoor (AC),0.63,0
Corporate Meeting,Linen,Maroon,Professional,Outdoor (Humid),1.0,1
Gym/Workout,Polyester,Maroon,Bold,Indoor (AC),0.15,0
Pola/Market,Viscose,Navy Blue,Bold,Indoor (AC),0.4,0
Pola/Market,Cotton,Navy Blue,Minimalist,Outdoor (Humid),0.66,0
Corporate Meeting,Viscose,Navy Blue,Bold,Indoor (AC),0.41,0
Beach Party,Polyester,White,Bold,Outdoor (Humid),0.29,0
Temple Visit,Georgette,Black,Minimalist,Indoor (AC),0.22,0
Temple Visit,Linen,Maroon,Professional,Indoor (AC),0.38,0
Corporate Meeting,Polyester,Emerald Green,Professional,Outdoor (Humid),0.77,1
Corporate Meeting,Georgette,Earth Tone,Bold,Indoor (AC),0.18,0
Dinner Gala,Polyester,Black,Bold,Outdoor (Humid),0.26,0
Gym/Workout,Polyester,Emerald Green,Professional,Outdoor (Humid),0.4,0
Gym/Workout,Polyester,Black,Bold,Indoor (AC),0.16,0
Pola/Market,Georgette,Black,Minimalist,Outdoor (Humid),0.14,0
Temple Visit,Cotton,White,Bold,Outdoor (Humid),0.67,0
Pola/Market,Viscose,Black,Bold,Outdoor (Humid),0.22,0
Pola/Market,Cotton,White,Bold,Indoor (AC),0.21,0
Corporate Meeting,Linen,Black,Professional,Outdoor (Humid),1.0,1
Traditional Wedding,Silk,Emerald Green,Professional,Indoor (AC),0.88,1
Corporate Meeting,Polyester,Earth Tone,Bold,Indoor (AC),0.26,0
Beach Party,Polyester,Emerald Green,Professional,Outdoor (Humid),0.12,0
Pola/Market,Viscose,White,Professional,Outdoor (Humid),0.39,0
Corporate Meeting,Viscose,Navy Blue,Bold,Outdoor (Humid),0.2,0
Beach Party,Viscose,Emerald Green,Bold,Outdoor (Humid),0.4,0
Dinner Gala,Polyester,Maroon,Minimalist,Indoor (AC),0.36,0
Pola/Market,Viscose,Maroon,Bold,Outdoor (Humid),0.23,0
Beach Party,Polyester,Earth Tone,Minimalist,Indoor (AC),0.49,0
Traditional Wedding,Silk,Maroon,Professional,Indoor (AC),0.72,0
Dinner Gala,Polyester,Navy Blue,Professional,Outdoor (Humid),0.18,0
Gym/Workout,Linen,Navy Blue,Minimalist,Outdoor (Humid),0.54,0
Traditional Wedding,Silk,Navy Blue,Minimalist,Indoor (AC),0.99,1
Pola/Market,Silk,Maroon,Bold,Indoor (AC),0.56,0
Corporate Meeting,Cotton,Emerald Green,Minimalist,Indoor (AC),0.5,0
Temple Visit,Silk,Emerald Green,Professional,Outdoor (Humid),0.42,0
Temple Visit,Cotton,Emerald Green,Bold,Indoor (AC),0.42,0
Temple Visit,Silk,Navy Blue,Minimalist,Indoor (AC),0.36,0
Traditional Wedding,Georgette,Earth Tone,Professional,Indoor (AC),0.58,0
Gym/Workout,Linen,White,Bold,Outdoor (Humid),0.81,1
Corporate Meeting,Viscose,Earth Tone,Minimalist,Outdoor (Humid),0.33,0
Gym/Workout,Silk,Black,Professional,Outdoor (Humid),0.26,0
Beach Party,Silk,Earth Tone,Minimalist,Indoor (AC),0.31,0
Traditional Wedding,Linen,Navy Blue,Bold,Indoor (AC),0.44,0
Corporate Meeting,Georgette,Black,Bold,Outdoor (Humid),0.34,0
Traditional Wedding,Linen,Navy Blue,Bold,Outdoor (Humid),0.54,0
Pola/Market,Silk,Earth Tone,Bold,Indoor (AC),0.54,0
Gym/Workout,Linen,Navy Blue,Minimalist,Indoor (AC),0.26,0
Beach Party,Polyester,White,Professional,Indoor (AC),0.22,0
Gym/Workout,Silk,Navy Blue,Bold,Outdoor (Humid),0.48,0
Traditional Wedding,Linen,Emerald Green,Bold,Outdoor (Humid),0.65,0
Beach Party,Linen,Maroon,Bold,Outdoor (Humid),0.88,1
Dinner Gala,Viscose,Earth Tone,Bold,Indoor (AC),0.47,0
Gym/Workout,Silk,Maroon,Professional,Indoor (AC),0.34,0
Dinner Gala,Silk,Black,Bold,Outdoor (Humid),0.8,1
Dinner Gala,Georgette,Maroon,Professional,Outdoor (Humid),0.86,1
Pola/Market,Linen,Emerald Green,Professional,Indoor (AC),0.48,0
Temple Visit,Georgette,White,Minimalist,Indoor (AC),0.46,0
Corporate Meeting,Silk,Black,Professional,Outdoor (Humid),0.58,0
Beach Party,Viscose,Emerald Green,Bold,Outdoor (Humid),0.22,0
Beach Party,Polyester,Maroon,Professional,Indoor (AC),0.35,0
Pola/Market,Viscose,White,Bold,Outdoor (Humid),0.31,0
Corporate Meeting,Georgette,Maroon,Bold,Indoor (AC),0.34,0
Temple Visit,Silk,Maroon,Professional,Outdoor (Humid),0.48,0
Dinner Gala,Silk,Navy Blue,Professional,Indoor (AC),0.84,1
Beach Party,Linen,Earth Tone,Minimalist,Outdoor (Humid),0.77,1
Beach Party,Linen,Emerald Green,Professional,Outdoor (Humid),0.77,1
Dinner Gala,Cotton,Maroon,Bold,Indoor (AC),0.37,0
Pola/Market,Georgette,Earth Tone,Bold,Indoor (AC),0.27,0
Beach Party,Silk,Navy Blue,Minimalist,Indoor (AC),0.61,0
Corporate Meeting,Silk,Maroon,Bold,Outdoor (Humid),0.48,0
Dinner Gala,Viscose,Black,Minimalist,Outdoor (Humid),0.3,0
Gym/Workout,Georgette,White,Bold,Indoor (AC),0.13,0
Gym/Workout,Linen,Emerald Green,Professional,Indoor (AC),0.33,0
Dinner Gala,Linen,Maroon,Minimalist,Outdoor (Humid),0.67,0
Gym/Workout,Linen,Maroon,Bold,Indoor (AC),0.16,0
Corporate Meeting,Linen,Earth Tone,Professional,Outdoor (Humid),1.0,1
Beach Party,Linen,Maroon,Minimalist,Indoor (AC),0.35,0
Gym/Workout,Georgette,Navy Blue,Bold,Outdoor (Humid),0.43,0
Traditional Wedding,Linen,Emerald Green,Bold,Indoor (AC),0.31,0
Pola/Market,Georgette,Emerald Green,Professional,Indoor (AC),0.43,0
Pola/Market,Linen,Maroon,Minimalist,Indoor (AC),0.41,0
Pola/Market,Cotton,White,Professional,Indoor (AC),0.2,0
Beach Party,Georgette,White,Minimalist,Outdoor (Humid),0.26,0
Corporate Meeting,Georgette,Black,Minimalist,Indoor (AC),0.35,0
Traditional Wedding,Cotton,Earth Tone,Professional,Outdoor (Humid),0.79,1
Corporate Meeting,Viscose,Emerald Green,Bold,Indoor (AC),0.42,0
Traditional Wedding,Georgette,Black,Professional,Outdoor (Humid),0.82,1
Dinner Gala,Linen,Emerald Green,Professional,Indoor (AC),0.12,0
Pola/Market,Silk,Black,Bold,Indoor (AC),0.45,0
Beach Party,Cotton,Navy Blue,Bold,Indoor (AC),0.28,0
Pola/Market,Cotton,White,Bold,Indoor (AC),0.22,0
Beach Party,Silk,Black,Bold,Indoor (AC),0.62,0
Traditional Wedding,Linen,Black,Bold,Outdoor (Humid),0.61,0
Temple Visit,Cotton,Emerald Green,Minimalist,Outdoor (Humid),0.7,0
Beach Party,Silk,White,Minimalist,Outdoor (Humid),0.26,0
Gym/Workout,Polyester,Navy Blue,Professional,Outdoor (Humid),0.31,0
Corporate Meeting,Linen,Earth Tone,Minimalist,Indoor (AC),0.29,0
Corporate Meeting,Silk,Emerald Green,Professional,Indoor (AC),0.62,0
Dinner Gala,Silk,Emerald Green,Bold,Indoor (AC),1.0,1
Corporate Meeting,Georgette,Earth Tone,Minimalist,Outdoor (Humid),0.44,0
Traditional Wedding,Silk,Earth Tone,Bold,Outdoor (Humid),0.66,0
Corporate Meeting,Silk,White,Bold,Outdoor (Humid),0.19,0
Temple Visit,Georgette,Navy Blue,Bold,Indoor (AC),0.39,0
Temple Visit,Georgette,Earth Tone,Minimalist,Indoor (AC),0.38,0
Temple Visit,Polyester,Navy Blue,Minimalist,Indoor (AC),0.46,0
Gym/Workout,Silk,White,Minimalist,Outdoor (Humid),0.3,0
Temple Visit,Viscose,Navy Blue,Bold,Outdoor (Humid),0.22,0
Dinner Gala,Viscose,Maroon,Professional,Outdoor (Humid),0.26,0
Temple Visit,Cotton,Maroon,Bold,Outdoor (Humid),0.69,0
Traditional Wedding,Polyester,Earth Tone,Bold,Indoor (AC),0.18,0
Gym/Workout,Georgette,Black,Bold,Outdoor (Humid),0.18,0
Corporate Meeting,Linen,White,Minimalist,Outdoor (Humid),0.71,0
Pola/Market,Cotton,Black,Professional,Outdoor (Humid),0.57,0
Dinner Gala,Polyester,Maroon,Minimalist,Outdoor (Humid),0.11,0
Corporate Meeting,Georgette,Navy Blue,Minimalist,Outdoor (Humid),0.14,0
Beach Party,Cotton,Navy Blue,Professional,Indoor (AC),0.26,0
Traditional Wedding,Silk,Earth Tone,Bold,Outdoor (Humid),0.65,0
Gym/Workout,Georgette,Earth Tone,Minimalist,Outdoor (Humid),0.14,0
Dinner Gala,Viscose,Black,Minimalist,Indoor (AC),0.16,0
Pola/Market,Viscose,Black,Professional,Indoor (AC),0.24,0
Beach Party,Polyester,Black,Minimalist,Indoor (AC),0.21,0
Temple Visit,Cotton,Emerald Green,Bold,Outdoor (Humid),0.61,0
Temple Visit,Cotton,Navy Blue,Minimalist,Indoor (AC),0.47,0
Corporate Meeting,Viscose,Maroon,Bold,Outdoor (Humid),0.19,0
Pola/Market,Cotton,Earth Tone,Minimalist,Outdoor (Humid),0.68,0
Traditional Wedding,Polyester,Earth Tone,Professional,Outdoor (Humid),0.48,0
Traditional Wedding,Linen,Earth Tone,Minimalist,Indoor (AC),0.43,0
Corporate Meeting,Viscose,Maroon,Bold,Outdoor (Humid),0.11,0
Corporate Meeting,Silk,Navy Blue,Bold,Outdoor (Humid),0.23,0
Pola/Market,Polyester,Emerald Green,Bold,Indoor (AC),0.16,0
Pola/Market,Polyester,Earth Tone,Professional,Outdoor (Humid),0.38,0
Temple Visit,Cotton,Black,Bold,Indoor (AC),0.22,0
Traditional Wedding,Linen,Emerald Green,Minimalist,Outdoor (Humid),0.84,1
Temple Visit,Polyester,Maroon,Minimalist,Indoor (AC),0.3,0
Traditional Wedding,Cotton,White,Professional,Indoor (AC),0.45,0
Dinner Gala,Georgette,Maroon,Minimalist,Outdoor (Humid),0.87,1
Corporate Meeting,Viscose,White,Bold,Indoor (AC),0.45,0
Gym/Workout,Linen,White,Professional,Indoor (AC),0.27,0
Dinner Gala,Linen,Maroon,Bold,Indoor (AC),0.41,0
Corporate Meeting,Polyester,Black,Bold,Indoor (AC),0.46,0
Beach Party,Silk,Black,Minimalist,Indoor (AC),0.32,0
Dinner Gala,Viscose,Maroon,Professional,Outdoor (Humid),0.46,0
Gym/Workout,Silk,Emerald Green,Professional,Outdoor (Humid),0.39,0
Traditional Wedding,Polyester,Navy Blue,Bold,Indoor (AC),0.22,0
Pola/Market,Cotton,Emerald Green,Minimalist,Outdoor (Humid),0.61,0
Beach Party,Linen,Emerald Green,Minimalist,Outdoor (Humid),0.77,1
Traditional Wedding,Silk,White,Bold,Indoor (AC),1.0,1
Beach Party,Silk,White,Bold,Outdoor (Humid),0.46,0
